Contestant,Rumor,Secret,Summary,Story Comprehensions & Retention,Academic Testing
Jean,Rumor 1:,Cam Secret 2: Patrilineage,Shares rumor about a contestant with experience in Africa.,,,
Jean,Rumor 2:,Prono Secret 1: Cyberdate,"Rumor implies that one contestant who is terminally online pervert who has revealing ""CyberDate"" logs showing his intentions",,,
Jean,Rumor 3:,Zed Secret 1: Lying about being straight,"There is a twinkish contestant claiming to be looking for just friends and creative collaborators, lies, he's broke, gay. This will be an email to tank production offering to ""dance"" or ""be a secretary"" in order to be on show.",,,
Zed,Rumor 1:,Myra Secret 1: Born in the year of the dragon,one of the contestants had a tumblr blog from 2012 and appears to be lying about their age.,,,
Zed,Rumor 2:,"Bernard Secret 1: Sad, Squished, Sonya",Some contestant through negligence has committed animal slaughter.,,,
Zed,Rumor 3:,Jean Secret 3: August 2018 police report,Some mysterious gameshow host was actually arrested in 2018.,,,
Myra,Rumor 1:,Jean Secret 1: Dad's abortion clinic bill,"the host is suspicious, he had a weird bill sitting out when interviewing myra",,,
Myra,Rumor 2:,Zed Secret 2: Hooked on a feeling,"Some artistic contestant fell into the wrong crowd, and their behavior is that of an addict.",,,
Myra,Rumor 3:,Bernard Secret 3: Spring Equinox Moonlight,"some rich contestant wanted to ""fatten"" up his bride to prepare for some esoteric sacrifice",,,
Bernard,Rumor 1:,Cam Secret 1: Apes in Africa,"A fat, disgusting, asshole, contestant was actually a goody two-shoes missionary in africa",,,
Bernard,Rumor 2:,"Cam Secret 3: Take 2 for headache, and 200 for heartache",Some bitch boy contestant was so sad he couldn't fuck a ghanian warlord.,,,
Bernard,Rumor 3:,Prono Secret 2: BBB,"This creepy online persona is lying, they've made over 200 accounts just to troll. they aren't working alone, perhaps some org behind them.",,,
Cam,Rumor 1:,Bernard Secret 2: Feeder fantasy,A skinny old contestant is not accidentally paired with a whale of a woman. ,,,
Cam,Rumor 2:,Myra Secret 2: Burt is perfect for the role.,the sugar plum princess contestant is anything but that. She has nefarious intentions for Burt.,,,
Cam,Rumor 3:,Prono Secret 3: And you can take that to the west bank.,I heard the creepy guy with too much time to stalk people might have so much time because he's earning money doing it for a larger organization based in the middle east.,,,
Prono,Rumor 1:,Myra Secret 3: Little island off the coast.,"research on the contestants has revealed one of them is being used as bait to lure men onto catalina island where they are disappointed at her real age and size, but are blackmailed none the less",,,
Prono,Rumor 2:,Jean Secret 2: Brother's lobotomy surgery notes,"Our beloved host Jean has strange information that seems specific to burt, just lying around his house",,,
Prono,Rumor 3:,Zed Secret 3: Fresh prince of kensington,Some innocent young twink is in deeper trouble than they are letting on. This one has been banished from his parents and lives on the street.,,,
,,,,,
